TaskID,Completed,Description
3.1.1 Simulink Model,True,"Implement Simulink model of DC gearmotor with resonant load using nominal parameter"
3.1.2 Beam Displacement Sensor,True,"Model potentiometer and ADC circuit for beam displacement measurement"
3.2.1 PID Design,True,"Design PID controller for hub position with ts≤0.85s, Mp≤30%, and anti-windup"
3.2.2 PID Validation,True,"Validate PID in simulation with step inputs (50°, 120°) and anti-windup"
3.3.1 State-Space Design,True,"Design state-space controller for hub position using eigenvalue placement"
3.3.2 State-Space Validation,True,"Validate state-space controller in simulation (50° step)"
3.3.3 Integral Action,True,"(Optional) Modify design for robust tracking with integral action"
3.3.4 Integral Validation,True,"(Optional) Validate integral action in simulation (50° step)"
3.4.1 LQR Design (SRL),True,"Design LQR using Symmetric Root Locus for nominal tracking"
3.4.2 LQR Validation (SRL),True,"Validate LQR (SRL) in simulation (50° step)"
3.4.3 LQR Design (Bryson),True,"Design LQR using Bryson’s rule with Q and r weights"
3.4.4 LQR Validation (Bryson),True,"Validate LQR (Bryson) in simulation (50° step)"
3.4.5 LQR Integral (SRL),False,"(Optional) Design LQR with integral action using SRL"
3.4.6 LQR Integral Validation,False,"(Optional) Validate LQR with integral action (50° step)"
3.4.7 LQR Integral (Bryson),False,"(Optional) Design LQR with integral action using Bryson’s rule"
3.4.8 LQR Integral Validation,False,"(Optional) Validate LQR with integral action (50° step)"
3.4.9 FS-LQR Design,False,"(Optional) Design FS-LQR to attenuate resonant mode"
3.4.10 FS-LQR Validation,False,"(Optional) Validate FS-LQR with q22∈{0.01,1,100} (50° step)"
3.4.11 FS-LQR Integral,False,"(Optional) Extend FS-LQR with integral action"
3.4.12 FS-LQR Integral Validation,False,"(Optional) Validate FS-LQR with integral action (50° step)"
3.5.1 Beam Setup,True,"Configure experimental setup for beam deflection measurement"
3.5.2 Bias Removal,True,"Implement bias removal scheme for beam displacement sensor"
3.6.1 Joint Estimation,True,"Estimate ωn and δ of elastic joint, compute Bb and k"
3.7.1 PID Redesign,True,"Redesign PID controller with estimated joint parameters"
3.7.2 PID Experimental,True,"Validate redesigned PID on experimental setup"
3.8.1 State-Space Redesign,True,"Redesign state-space controller with estimated parameters"
3.8.2 State-Space Experimental,True,"Validate redesigned state-space controller experimentally"
3.8.3 State-Space Integral,True,"(Optional) Redesign state-space with integral action"
3.8.4 State-Space Integral Experimental,True,"(Optional) Validate state-space with integral action"
3.9.1 LQR Redesign (SRL),True,"Redesign LQR (SRL) with estimated parameters"
3.9.2 LQR Experimental (SRL),True,"Validate LQR (SRL) experimentally"
3.9.3 LQR Redesign (Bryson),True,"Redesign LQR (Bryson) with estimated parameters"
3.9.4 LQR Experimental (Bryson),True,"Validate LQR (Bryson) experimentally"
3.9.5 LQR Integral Redesign,False,"(Optional) Redesign LQR with integral action"
3.9.6 LQR Integral Experimental,False,"(Optional) Validate LQR with integral action"
3.9.7 FS-LQR Redesign,False,"(Optional) Redesign FS-LQR with estimated parameters"
3.9.8 FS-LQR Experimental,False,"(Optional) Validate FS-LQR experimentally"
3.9.9 FS-LQR Integral Redesign,False,"(Optional) Redesign FS-LQR with integral action"
3.9.10 FS-LQR Integral Experimental,False,"(Optional) Validate FS-LQR with integral action"
