TaskID,Status,TaskDescription,Notes
L2.01,False,Design discrete-time PID controller using backward Euler method,
L2.02,False,"Simulate PID controller with T1=1ms, T2=10ms, T3=50ms",
L2.03,False,Implement anti-windup in PID and simulate with 10ms sampling and 360Â° input,
L2.04,False,Optional: Add feedforward compensation and validate tracking,
L2.05,False,"Compare PID discretization methods: Forward Euler, Tustin, ZOH",
L2.06,False,Design reduced-order observer for state-space controller (continuous-time),
L2.07,False,"Simulate continuous-time state-space controller with 40Â°, 70Â°, 120Â° steps",
L2.08,False,Discretize reduced-order observer using forward Euler,
L2.09,False,Simulate discrete-time state-space controller for all Ts cases,
L2.10,False,"Add integral action to state-space controller (continuous), simulate",
L2.11,False,Discretize and simulate regulator with integral action,
L2.12,False,Optional: Test Tustin/BE methods and note if implementation causes algebraic loop,
L2.13,False,Repeat observer and controller design using direct digital (ZOH) method,
L2.14,False,Compute Nx and Nu for feedforward in discrete domain,
L2.15,False,Simulate direct digital state-space controller for all sampling times,
L2.16,False,Design discrete-time regulator with integral action (direct design),
L2.17,False,Simulate controller in accurate Simulink model for Lab 2 challenge,
L2.18,False,Validate all designs on experimental setup,
